show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,date_added_parsed,duration_minutes,genre
s00029,Movie,Sample Title 29,Ava DuVernay,"Shah Rukh Khan, Kajol",Canada,"June 29, 2022",1992,PG-13,121 min,Horror Movies,A reality show full of surprises.,1992-01-01,121,Horror Movies
s00030,TV Show,Sample Title 30,Taika Waititi,"Tom Holland, Jacob Batalon",Canada,"December 23, 2018",2015,R,4 Season,Children & Family Movies,A crime saga revealing deep corruption.,2015-01-01,720,Children & Family Movies
s00031,TV Show,Sample Title 31,David Fincher,"Mahershala Ali, Jharrel Jerome",Spain,"April 25, 2022",1996,PG-13,2 Season,Sci-Fi & Fantasy,A high-octane adventure across continents.,1996-01-01,360,Sci-Fi & Fantasy
s00032,TV Show,Sample Title 32,Unknown,"Zendaya, Timothée Chalamet",Canada,"February 22, 2020",2008,R,12 Seasons,Crime TV Shows,A futuristic sci-fi with stunning visuals.,2008-01-01,2160,Crime TV Shows
s00033,TV Show,Sample Title 33,David Fincher,"Kangana Ranaut, Rajkummar Rao",South Korea,"June 10, 2023",1996,R,9 Season,Children & Family Movies,An uplifting story about friendship and resilience.,1996-01-01,1620,Children & Family Movies
s00034,Movie,Sample Title 34,Christopher Nolan,"Priyanka Chopra, Dev Patel",South Korea,"October 13, 2022",2003,G,140 min,Action & Adventure,A heartwarming family movie filled with emotions.,2003-01-01,140,Action & Adventure
s00035,TV Show,Sample Title 35,Wes Anderson,"Robert Downey Jr., Chris Evans",India,"February 11, 2023",2017,PG,30 Seasons,"Dramas, International Movies",A gripping tale of ambition and betrayal.,2017-01-01,5400,Dramas
s00035,TV Show,Sample Title 35,Wes Anderson,"Robert Downey Jr., Chris Evans",India,"February 11, 2023",2017,PG,30 Seasons,"Dramas, International Movies",A gripping tale of ambition and betrayal.,2017-01-01,5400,International Movies
s00036,TV Show,Sample Title 36,Christopher Nolan,"Mahershala Ali, Jharrel Jerome",Brazil,"November 30, 2023",2017,TV-MA,5 Season,Comedies,An uplifting story about friendship and resilience.,2017-01-01,900,Comedies
s00037,Movie,Sample Title 37,David Fincher,"Tom Holland, Jacob Batalon",Spain,"March 13, 2022",1999,TV-PG,139 min,Documentaries,A gripping tale of ambition and betrayal.,1999-01-01,139,Documentaries
s00038,TV Show,Sample Title 38,Denis Villeneuve,"Robert Downey Jr., Chris Evans",France,"May 10, 2018",2005,PG-13,30 Seasons,Romantic Movies,A futuristic sci-fi with stunning visuals.,2005-01-01,5400,Romantic Movies
s00039,TV Show,Sample Title 39,Unknown,"Rami Malek, Lucy Boynton",United Kingdom,"December 26, 2017",2016,TV-MA,3 Season,Documentaries,A romantic story that challenges destiny.,2016-01-01,540,Documentaries
s00040,TV Show,Sample Title 40,Quentin Tarantino,"Meryl Streep, Anne Hathaway",Unknown,"November 12, 2023",1996,TV-PG,4 Season,"Dramas, International Movies",A crime saga revealing deep corruption.,1996-01-01,720,Dramas
s00040,TV Show,Sample Title 40,Quentin Tarantino,"Meryl Streep, Anne Hathaway",Unknown,"November 12, 2023",1996,TV-PG,4 Season,"Dramas, International Movies",A crime saga revealing deep corruption.,1996-01-01,720,International Movies
s00041,Movie,Sample Title 41,Wes Anderson,"Mahershala Ali, Jharrel Jerome",France,"June 04, 2019",2004,TV-14,95 min,"Dramas, International Movies",A high-octane adventure across continents.,2004-01-01,95,Dramas
s00041,Movie,Sample Title 41,Wes Anderson,"Mahershala Ali, Jharrel Jerome",France,"June 04, 2019",2004,TV-14,95 min,"Dramas, International Movies",A high-octane adventure across continents.,2004-01-01,95,International Movies
s00042,TV Show,Sample Title 42,Ava DuVernay,"Priyanka Chopra, Dev Patel",France,"March 12, 2023",2022,TV-PG,28 Seasons,Sci-Fi & Fantasy,A romantic story that challenges destiny.,2022-01-01,5040,Sci-Fi & Fantasy
s00043,Movie,Sample Title 43,Unknown,"Priyanka Chopra, Dev Patel",United Kingdom,"July 06, 2022",2006,TV-MA,84 min,Comedies,A reality show full of surprises.,2006-01-01,84,Comedies
s00044,TV Show,Sample Title 44,Bong Joon-ho,"Scarlett Johansson, Florence Pugh",Spain,"September 25, 2021",1997,TV-PG,26 Seasons,Reality TV,A high-octane adventure across continents.,1997-01-01,4680,Reality TV
s00045,TV Show,Sample Title 45,David Fincher,"Kangana Ranaut, Rajkummar Rao",Unknown,"January 14, 2022",2002,G,14 Seasons,Horror Movies,An uplifting story about friendship and resilience.,2002-01-01,2520,Horror Movies
s00046,TV Show,Sample Title 46,Patty Jenkins,"Priyanka Chopra, Dev Patel",Brazil,"June 20, 2019",2016,G,2 Season,Horror Movies,A heartwarming family movie filled with emotions.,2016-01-01,360,Horror Movies
s00047,Movie,Sample Title 47,Martin Scorsese,"Scarlett Johansson, Florence Pugh",Germany,"December 13, 2017",2009,TV-PG,94 min,Sci-Fi & Fantasy,A gripping tale of ambition and betrayal.,2009-01-01,94,Sci-Fi & Fantasy
s00048,TV Show,Sample Title 48,Denis Villeneuve,"Shah Rukh Khan, Kajol",Spain,"May 05, 2023",2010,NR,14 Seasons,Crime TV Shows,A crime saga revealing deep corruption.,2010-01-01,2520,Crime TV Shows
s00049,Movie,Sample Title 49,Nisha Patel,"Meryl Streep, Anne Hathaway",Germany,"December 13, 2016",2008,G,135 min,Comedies,A high-octane adventure across continents.,2008-01-01,135,Comedies
s00050,TV Show,Sample Title 50,Christopher Nolan,"Robert Downey Jr., Chris Evans",United States,"September 29, 2018",2020,PG-13,7 Seasons,Crime TV Shows,A chilling horror that keeps you on edge.,2020-01-01,1260,Crime TV Shows
s00051,Movie,Sample Title 51,Martin Scorsese,"Mahershala Ali, Jharrel Jerome",Australia,"September 26, 2018",1999,TV-MA,159 min,Comedies,A chilling horror that keeps you on edge.,1999-01-01,159,Comedies
s00052,Movie,Sample Title 52,Denis Villeneuve,"Kangana Ranaut, Rajkummar Rao",Japan,"July 24, 2016",2005,PG-13,92 min,Crime TV Shows,A documentary exploring the hidden corners of the world.,2005-01-01,92,Crime TV Shows
s00053,TV Show,Sample Title 53,Sofia Coppola,"Tom Holland, Jacob Batalon",Unknown,"December 17, 2020",2022,TV-PG,9 Season,Sci-Fi & Fantasy,A crime saga revealing deep corruption.,2022-01-01,1620,Sci-Fi & Fantasy
s00054,Movie,Sample Title 54,Nisha Patel,"Priyanka Chopra, Dev Patel",Unknown,"October 09, 2018",2007,NR,130 min,Action & Adventure,A heartwarming family movie filled with emotions.,2007-01-01,130,Action & Adventure
s00055,TV Show,Sample Title 55,Greta Gerwig,"Priyanka Chopra, Dev Patel",France,"August 02, 2019",1995,R,10 Seasons,Documentaries,A high-octane adventure across continents.,1995-01-01,1800,Documentaries
s00056,TV Show,Sample Title 56,Ava DuVernay,"Scarlett Johansson, Florence Pugh",Australia,"September 17, 2019",2019,TV-PG,4 Season,"Dramas, International Movies",A high-octane adventure across continents.,2019-01-01,720,Dramas
s00056,TV Show,Sample Title 56,Ava DuVernay,"Scarlett Johansson, Florence Pugh",Australia,"September 17, 2019",2019,TV-PG,4 Season,"Dramas, International Movies",A high-octane adventure across continents.,2019-01-01,720,International Movies
s00057,TV Show,Sample Title 57,Sofia Coppola,"Robert Downey Jr., Chris Evans",Unknown,"June 16, 2022",2014,NR,25 Seasons,"Dramas, International Movies",A romantic story that challenges destiny.,2014-01-01,4500,Dramas
s00057,TV Show,Sample Title 57,Sofia Coppola,"Robert Downey Jr., Chris Evans",Unknown,"June 16, 2022",2014,NR,25 Seasons,"Dramas, International Movies",A romantic story that challenges destiny.,2014-01-01,4500,International Movies
s00058,TV Show,Sample Title 58,Karan Johar,"Kangana Ranaut, Rajkummar Rao",Unknown,"October 06, 2022",2004,NR,7 Season,Action & Adventure,A heartwarming family movie filled with emotions.,2004-01-01,1260,Action & Adventure
s00059,TV Show,Sample Title 59,Bong Joon-ho,"Scarlett Johansson, Florence Pugh",Mexico,"November 07, 2017",2019,R,13 Seasons,Reality TV,A futuristic sci-fi with stunning visuals.,2019-01-01,2340,Reality TV
s00060,Movie,Sample Title 60,Sofia Coppola,"Shah Rukh Khan, Kajol",Germany,"April 21, 2016",1995,TV-PG,120 min,Documentaries,A crime saga revealing deep corruption.,1995-01-01,120,Documentaries
s00061,Movie,Sample Title 61,Quentin Tarantino,"Scarlett Johansson, Florence Pugh",France,"May 16, 2018",2019,G,76 min,Romantic Movies,A chilling horror that keeps you on edge.,2019-01-01,76,Romantic Movies
s00062,TV Show,Sample Title 62,Quentin Tarantino,"Zendaya, Timothée Chalamet",Japan,"March 20, 2016",1993,G,7 Season,Action & Adventure,An uplifting story about friendship and resilience.,1993-01-01,1260,Action & Adventure
s00063,Movie,Sample Title 63,Greta Gerwig,"Rami Malek, Lucy Boynton",United States,"December 19, 2022",1999,TV-14,73 min,Documentaries,A crime saga revealing deep corruption.,1999-01-01,73,Documentaries
s00064,Movie,Sample Title 64,Greta Gerwig,"Mahershala Ali, Jharrel Jerome",Mexico,"November 15, 2018",2013,R,142 min,Reality TV,A reality show full of surprises.,2013-01-01,142,Reality TV
s00065,Movie,Sample Title 65,Quentin Tarantino,"Zendaya, Timothée Chalamet",Spain,"April 15, 2016",2009,TV-PG,90 min,Horror Movies,A high-octane adventure across continents.,2009-01-01,90,Horror Movies
s00066,Movie,Sample Title 66,Patty Jenkins,"Rami Malek, Lucy Boynton",India,"October 26, 2023",2009,PG-13,145 min,Reality TV,A gripping tale of ambition and betrayal.,2009-01-01,145,Reality TV
s00067,TV Show,Sample Title 67,Ava DuVernay,"Kangana Ranaut, Rajkummar Rao",Germany,"October 29, 2019",1990,TV-PG,6 Season,Crime TV Shows,An uplifting story about friendship and resilience.,1990-01-01,1080,Crime TV Shows
s00068,TV Show,Sample Title 68,Patty Jenkins,"Meryl Streep, Anne Hathaway",Australia,"December 22, 2017",2023,PG,8 Season,Reality TV,A futuristic sci-fi with stunning visuals.,2023-01-01,1440,Reality TV
s00069,TV Show,Sample Title 69,Patty Jenkins,"Shah Rukh Khan, Kajol",South Korea,"August 13, 2019",2005,PG-13,27 Seasons,Children & Family Movies,A crime saga revealing deep corruption.,2005-01-01,4860,Children & Family Movies
s00070,Movie,Sample Title 70,Sofia Coppola,"Shah Rukh Khan, Kajol",Germany,"April 01, 2020",2011,TV-MA,129 min,Crime TV Shows,A romantic story that challenges destiny.,2011-01-01,129,Crime TV Shows
s00071,Movie,Sample Title 71,Greta Gerwig,"Tom Holland, Jacob Batalon",Unknown,"November 24, 2018",2011,PG,132 min,Reality TV,A heartwarming family movie filled with emotions.,2011-01-01,132,Reality TV
s00072,Movie,Sample Title 72,Greta Gerwig,"Zendaya, Timothée Chalamet",Canada,"July 22, 2020",2021,TV-14,136 min,Crime TV Shows,A crime saga revealing deep corruption.,2021-01-01,136,Crime TV Shows
s00073,TV Show,Sample Title 73,Quentin Tarantino,"Rami Malek, Lucy Boynton",Australia,"October 04, 2023",2005,PG,2 Season,Reality TV,A romantic story that challenges destiny.,2005-01-01,360,Reality TV
s00074,TV Show,Sample Title 74,Martin Scorsese,"Kangana Ranaut, Rajkummar Rao",France,"December 12, 2019",2019,PG,6 Season,Children & Family Movies,A heartwarming family movie filled with emotions.,2019-01-01,1080,Children & Family Movies
s00075,Movie,Sample Title 75,Patty Jenkins,"Rami Malek, Lucy Boynton",France,"May 04, 2017",2001,TV-14,85 min,Action & Adventure,A crime saga revealing deep corruption.,2001-01-01,85,Action & Adventure
s00076,TV Show,Sample Title 76,Sofia Coppola,"Priyanka Chopra, Dev Patel",India,"March 06, 2018",2008,TV-14,9 Season,Romantic Movies,A documentary exploring the hidden corners of the world.,2008-01-01,1620,Romantic Movies
s00077,TV Show,Sample Title 77,Christopher Nolan,"Priyanka Chopra, Dev Patel",United States,"August 11, 2016",2008,R,18 Seasons,Crime TV Shows,An uplifting story about friendship and resilience.,2008-01-01,3240,Crime TV Shows
s00078,Movie,Sample Title 78,Quentin Tarantino,"Mahershala Ali, Jharrel Jerome",Japan,"December 09, 2020",2011,R,143 min,"Dramas, International Movies",A heartwarming family movie filled with emotions.,2011-01-01,143,Dramas
s00078,Movie,Sample Title 78,Quentin Tarantino,"Mahershala Ali, Jharrel Jerome",Japan,"December 09, 2020",2011,R,143 min,"Dramas, International Movies",A heartwarming family movie filled with emotions.,2011-01-01,143,International Movies
s00079,TV Show,Sample Title 79,Martin Scorsese,"Mahershala Ali, Jharrel Jerome",India,"June 21, 2022",1993,R,3 Seasons,Documentaries,A reality show full of surprises.,1993-01-01,540,Documentaries
s00080,TV Show,Sample Title 80,Ava DuVernay,"Kangana Ranaut, Rajkummar Rao",Unknown,"August 31, 2020",2004,TV-PG,8 Seasons,Crime TV Shows,A crime saga revealing deep corruption.,2004-01-01,1440,Crime TV Shows
s00081,TV Show,Sample Title 81,Quentin Tarantino,"Shah Rukh Khan, Kajol",Spain,"September 03, 2016",1996,TV-14,7 Season,Action & Adventure,A heartwarming family movie filled with emotions.,1996-01-01,1260,Action & Adventure
s00082,Movie,Sample Title 82,Greta Gerwig,"Meryl Streep, Anne Hathaway",Brazil,"November 03, 2016",2000,TV-MA,90 min,Horror Movies,A crime saga revealing deep corruption.,2000-01-01,90,Horror Movies
s00083,TV Show,Sample Title 83,Quentin Tarantino,"Priyanka Chopra, Dev Patel",Mexico,"February 02, 2021",1994,TV-14,8 Seasons,Children & Family Movies,A reality show full of surprises.,1994-01-01,1440,Children & Family Movies
s00084,Movie,Sample Title 84,Ava DuVernay,"Kangana Ranaut, Rajkummar Rao",Canada,"April 06, 2023",1999,PG,124 min,Documentaries,An uplifting story about friendship and resilience.,1999-01-01,124,Documentaries
s00085,Movie,Sample Title 85,Denis Villeneuve,"Priyanka Chopra, Dev Patel",Spain,"May 20, 2022",2008,NR,91 min,Comedies,A crime saga revealing deep corruption.,2008-01-01,91,Comedies
s00086,TV Show,Sample Title 86,Karan Johar,"Kangana Ranaut, Rajkummar Rao",Japan,"November 28, 2020",1995,TV-MA,5 Season,Horror Movies,A romantic story that challenges destiny.,1995-01-01,900,Horror Movies
s00087,TV Show,Sample Title 87,Taika Waititi,"Shah Rukh Khan, Kajol",Spain,"March 25, 2016",2007,TV-MA,8 Seasons,Documentaries,A crime saga revealing deep corruption.,2007-01-01,1440,Documentaries
s00088,TV Show,Sample Title 88,Sofia Coppola,"Scarlett Johansson, Florence Pugh",Germany,"July 07, 2021",1995,NR,3 Season,Romantic Movies,A chilling horror that keeps you on edge.,1995-01-01,540,Romantic Movies
s00089,TV Show,Sample Title 89,Wes Anderson,"Meryl Streep, Anne Hathaway",France,"August 13, 2020",2021,PG,4 Seasons,Horror Movies,A futuristic sci-fi with stunning visuals.,2021-01-01,720,Horror Movies
s00090,Movie,Sample Title 90,Ava DuVernay,"Tom Holland, Jacob Batalon",South Korea,"August 17, 2019",1997,TV-PG,128 min,Sci-Fi & Fantasy,A gripping tale of ambition and betrayal.,1997-01-01,128,Sci-Fi & Fantasy
s00091,TV Show,Sample Title 91,Karan Johar,"Tom Holland, Jacob Batalon",Spain,"August 03, 2021",2018,TV-MA,7 Seasons,Action & Adventure,A heartwarming family movie filled with emotions.,2018-01-01,1260,Action & Adventure
s00092,Movie,Sample Title 92,Nisha Patel,"Mahershala Ali, Jharrel Jerome",India,"April 28, 2016",2005,R,106 min,Children & Family Movies,A futuristic sci-fi with stunning visuals.,2005-01-01,106,Children & Family Movies
s00093,Movie,Sample Title 93,Martin Scorsese,"Zendaya, Timothée Chalamet",Canada,"April 09, 2017",2019,PG-13,140 min,Documentaries,A crime saga revealing deep corruption.,2019-01-01,140,Documentaries
s00094,TV Show,Sample Title 94,Martin Scorsese,"Mahershala Ali, Jharrel Jerome",Japan,"September 25, 2018",2019,R,5 Season,Horror Movies,A high-octane adventure across continents.,2019-01-01,900,Horror Movies
s00095,Movie,Sample Title 95,Quentin Tarantino,"Scarlett Johansson, Florence Pugh",France,"September 10, 2021",2007,TV-MA,78 min,Children & Family Movies,A heartwarming family movie filled with emotions.,2007-01-01,78,Children & Family Movies
s00096,TV Show,Sample Title 96,Karan Johar,"Mahershala Ali, Jharrel Jerome",France,"September 23, 2019",2014,NR,8 Season,Romantic Movies,A high-octane adventure across continents.,2014-01-01,1440,Romantic Movies
s00097,Movie,Sample Title 97,Martin Scorsese,"Rami Malek, Lucy Boynton",Unknown,"August 09, 2020",1992,G,143 min,Crime TV Shows,A chilling horror that keeps you on edge.,1992-01-01,143,Crime TV Shows
s00098,TV Show,Sample Title 98,Nisha Patel,"Robert Downey Jr., Chris Evans",United Kingdom,"August 19, 2021",2011,PG-13,3 Season,Crime TV Shows,An uplifting story about friendship and resilience.,2011-01-01,540,Crime TV Shows
s00099,TV Show,Sample Title 99,Martin Scorsese,"Meryl Streep, Anne Hathaway",India,"April 07, 2021",2006,G,5 Seasons,Reality TV,A chilling horror that keeps you on edge.,2006-01-01,900,Reality TV
s00100,Movie,Sample Title 100,Wes Anderson,"Kangana Ranaut, Rajkummar Rao",Australia,"July 21, 2019",2021,TV-MA,112 min,Reality TV,An uplifting story about friendship and resilience.,2021-01-01,112,Reality TV
s00101,Movie,Sample Title 101,Taika Waititi,"Priyanka Chopra, Dev Patel",Canada,"January 05, 2017",2017,PG-13,150 min,Comedies,A crime saga revealing deep corruption.,2017-01-01,150,Comedies
s00102,Movie,Sample Title 102,Quentin Tarantino,"Robert Downey Jr., Chris Evans",United States,"August 21, 2019",1993,PG,158 min,Romantic Movies,A romantic story that challenges destiny.,1993-01-01,158,Romantic Movies
s00103,TV Show,Sample Title 103,Martin Scorsese,"Shah Rukh Khan, Kajol",Germany,"January 07, 2018",2000,R,17 Seasons,Comedies,A reality show full of surprises.,2000-01-01,3060,Comedies
s00104,TV Show,Sample Title 104,Nisha Patel,"Shah Rukh Khan, Kajol",United Kingdom,"August 09, 2018",2019,PG,4 Season,Crime TV Shows,A heartwarming family movie filled with emotions.,2019-01-01,720,Crime TV Shows
s00105,Movie,Sample Title 105,Unknown,"Priyanka Chopra, Dev Patel",Germany,"February 16, 2022",2000,PG-13,129 min,Crime TV Shows,A romantic story that challenges destiny.,2000-01-01,129,Crime TV Shows
s00106,TV Show,Sample Title 106,Patty Jenkins,"Priyanka Chopra, Dev Patel",Japan,"May 22, 2019",2002,TV-PG,7 Season,Crime TV Shows,An uplifting story about friendship and resilience.,2002-01-01,1260,Crime TV Shows
s00107,Movie,Sample Title 107,Sofia Coppola,"Tom Holland, Jacob Batalon",Spain,"April 26, 2019",2008,TV-MA,118 min,Horror Movies,A heartwarming family movie filled with emotions.,2008-01-01,118,Horror Movies
s00108,Movie,Sample Title 108,Wes Anderson,"Robert Downey Jr., Chris Evans",Spain,"July 27, 2021",2008,TV-14,142 min,Reality TV,A romantic story that challenges destiny.,2008-01-01,142,Reality TV
s00109,Movie,Sample Title 109,Greta Gerwig,"Shah Rukh Khan, Kajol",South Korea,"August 08, 2023",1998,PG-13,151 min,"Dramas, International Movies",A heartwarming family movie filled with emotions.,1998-01-01,151,Dramas
s00109,Movie,Sample Title 109,Greta Gerwig,"Shah Rukh Khan, Kajol",South Korea,"August 08, 2023",1998,PG-13,151 min,"Dramas, International Movies",A heartwarming family movie filled with emotions.,1998-01-01,151,International Movies
s00110,TV Show,Sample Title 110,Patty Jenkins,"Meryl Streep, Anne Hathaway",India,"April 23, 2019",2010,TV-PG,12 Seasons,Documentaries,A high-octane adventure across continents.,2010-01-01,2160,Documentaries
s00111,Movie,Sample Title 111,Unknown,"Tom Holland, Jacob Batalon",Brazil,"August 17, 2021",2007,R,139 min,Children & Family Movies,A crime saga revealing deep corruption.,2007-01-01,139,Children & Family Movies
s00112,TV Show,Sample Title 112,Denis Villeneuve,"Zendaya, Timothée Chalamet",Japan,"November 04, 2016",1999,TV-14,6 Season,Horror Movies,A futuristic sci-fi with stunning visuals.,1999-01-01,1080,Horror Movies
s00113,TV Show,Sample Title 113,David Fincher,"Priyanka Chopra, Dev Patel",Brazil,"May 21, 2017",2019,G,13 Seasons,Children & Family Movies,A reality show full of surprises.,2019-01-01,2340,Children & Family Movies
s00114,TV Show,Sample Title 114,Ava DuVernay,"Rami Malek, Lucy Boynton",Japan,"April 12, 2016",2010,TV-14,6 Season,Comedies,A crime saga revealing deep corruption.,2010-01-01,1080,Comedies
s00115,TV Show,Sample Title 115,Christopher Nolan,"Robert Downey Jr., Chris Evans",United States,"May 31, 2019",2021,PG-13,2 Season,Comedies,A high-octane adventure across continents.,2021-01-01,360,Comedies
s00116,Movie,Sample Title 116,Nisha Patel,"Tom Holland, Jacob Batalon",Germany,"October 23, 2023",2016,R,119 min,Horror Movies,An uplifting story about friendship and resilience.,2016-01-01,119,Horror Movies
